x	y	z	w	pm_concentration
-1.89467	4.46496	-0.0147603	0.999891	26
-1.89467	4.46496	-0.0148476	0.99989	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0151966	0.999885	26
-1.89462	4.46496	-0.0152839	0.999883	26
-1.88367	4.46463	-0.0149349	0.999888	26
-1.86415	4.46404	-0.0145858	0.999894	26
-1.84049	4.46336	-0.0138878	0.999904	26
-1.8109	4.46255	-0.0133642	0.999911	26
-1.77556	4.46161	-0.0131897	0.999913	26
-1.73911	4.46064	-0.0133642	0.999911	26
-1.69891	4.45959	-0.0127534	0.999919	26
-1.65884	4.45862	-0.0115318	0.999934	26
