concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
53	26	7	55	27	55
32	35	23	39	36	47
23	22	0	38	21	63
28	29	22	39	29	62
19	40	23	40	43	64
31	32	43	39	31	58
36	15	35	37	27	55
27	29	28	39	29	56
70	36	40	42	52	58
22	34	36	39	30	58
0	60	10	46	29	61
34	16	70	54	31	55
32	28	25	43	29	53
36	25	52	43	36	61
40	29	41	45	29	61
14	38	29	38	0	53
31	32	34	39	32	56
32	38	57	42	41	72
39	41	0	39	38	57
17	54	12	33	68	54
31	30	29	39	30	55
29	37	29	35	37	58
35	32	30	34	31	58
52	38	0	31	36	58
6	51	97	31	3	55
31	32	38	38	29	56
40	31	47	32	58	61
37	28	39	41	32	56
32	31	27	27	30	54
29	34	28	41	28	61
41	29	4	47	41	67
41	29	4	47	41	67
84	16	145	37	35	62
53	36	72	40	55	61
29	31	22	38	29	56
53	30	14	50	26	56
68	32	65	46	31	56
35	39	45	39	30	54
43	31	28	40	30	54
31	33	35	45	30	55
28	31	31	48	77	51
34	32	31	40	31	56
60	38	0	34	34	29
31	32	32	43	31	55
39	45	89	43	26	58
36	36	60	45	38	62
34	32	45	41	30	62
29	28	20	38	32	57
35	29	34	40	32	60
64	56	32	31	0	57
37	33	34	41	34	66
48	17	43	13	42	65
34	32	25	35	27	59
86	7	33	69	15	55
42	35	1	59	25	60
32	34	31	42	35	56
34	39	30	44	27	63
35	32	23	39	32	56
40	33	46	42	29	55
38	36	42	41	37	83
41	37	28	40	33	61
5	48	0	39	33	65
36	34	38	41	34	59
50	35	46	31	0	46
47	42	55	47	43	66
7	71	88	19	12	56
61	46	19	47	65	60
35	33	20	41	31	64
110	33	34	45	45	68
46	38	0	45	35	58
39	29	33	41	32	57
14	17	102	60	37	57
33	34	27	43	32	58
31	31	32	42	30	58
50	38	97	46	90	62
40	33	42	40	35	66
35	34	36	38	34	61
35	34	36	38	34	61
31	39	32	39	41	59
86	30	29	41	29	60
34	35	48	43	32	58
37	30	30	35	37	65
34	33	40	49	33	64
42	44	0	41	43	67
32	36	25	42	34	62
0	0	22	63	36	62
50	43	51	60	73	66
24	37	0	48	40	66
30	33	30	49	34	68
33	33	33	41	35	58
39	38	41	44	55	61
35	38	37	49	39	59
96	0	85	40	31	54
77	34	34	43	34	55
61	44	0	43	42	33
37	55	38	73	75	54
50	43	29	11	41	57
33	32	25	43	35	52
37	33	31	45	33	54
36	38	58	45	35	59
33	34	35	38	36	57
43	37	33	45	64	59
63	43	28	44	22	67
33	27	79	43	44	65
42	29	31	44	36	62
32	30	27	47	34	56
35	32	26	46	32	56
36	32	36	43	26	74
36	28	45	42	24	59
56	30	104	44	46	54
34	29	33	43	34	57
45	35	63	43	38	67
36	34	45	46	35	56
75	66	16	34	0	76
37	31	39	42	35	54
82	34	28	42	67	54
42	34	48	46	41	56
59	29	4	31	29	57
33	31	38	40	34	59
36	16	16	41	45	62
0	35	36	43	36	60
54	26	0	50	19	47
54	26	0	50	19	47
36	35	31	43	35	59
36	36	46	44	40	56
34	34	45	41	39	56
66	27	5	37	34	53
95	0	164	63	35	53
87	38	57	48	38	74
37	37	37	42	35	56
40	32	3	41	27	48
39	37	38	42	37	59
44	12	87	22	32	75
39	34	32	44	42	57
28	0	14	63	15	55
31	35	34	43	34	60
41	57	49	43	43	65
39	36	58	45	38	67
38	36	39	42	39	68
38	36	26	39	38	71
38	35	32	37	33	63
84	53	11	57	33	58
38	37	52	37	36	63
45	36	73	44	34	61
28	20	0	37	60	56
39	31	31	47	37	58
92	12	20	53	51	82
97	43	51	72	53	62
32	59	129	65	77	57
22	28	38	62	48	64
44	22	0	61	26	41
42	13	134	48	71	52
41	23	73	43	0	48
47	39	50	42	45	63
78	24	107	37	21	52
56	28	85	49	29	64
36	33	34	46	41	66
44	61	0	61	84	80
47	41	39	41	48	67
39	35	36	46	33	62
46	25	36	50	62	60
37	36	40	48	33	66
92	35	34	45	35	64
39	26	18	47	38	63
37	71	62	77	42	69
51	36	36	46	34	64
0	31	0	48	37	62
33	35	38	45	37	63
33	35	38	45	37	63
92	0	0	38	24	50
41	35	35	45	42	64
73	33	37	57	22	60
35	43	33	44	27	73
39	37	37	47	38	71
38	35	0	58	38	71
103	34	19	50	46	66
47	54	32	54	68	64
27	29	81	46	30	57
34	33	33	44	37	69
87	44	128	43	45	59
47	34	5	41	42	67
34	34	38	50	37	65
44	31	0	38	38	60
36	32	26	50	37	72
35	40	31	42	40	72
45	36	40	53	34	66
39	34	36	49	42	70
44	41	5	52	21	46
43	35	32	52	37	66
91	16	0	39	0	66
44	36	39	49	43	72
20	50	101	41	22	74
37	34	28	51	39	65
38	37	37	45	41	64
50	40	31	45	46	68
37	38	46	52	34	65
51	46	38	43	12	47
45	36	36	45	37	62
40	61	0	71	0	79
44	35	31	47	41	63
14	22	0	40	15	65
43	37	33	48	35	65
89	16	29	51	81	82
42	38	41	49	42	60
47	27	13	46	38	60
63	9	39	56	13	73
0	30	32	67	66	87
68	38	55	51	45	69
46	39	34	50	37	65
38	34	27	50	39	70
37	37	33	50	39	69
63	55	37	51	46	85
48	37	38	52	37	70
17	52	45	49	43	52
17	52	45	49	43	52
41	41	44	48	31	61
57	0	36	34	54	81
48	43	56	53	41	60
36	39	49	50	38	62
35	38	31	46	35	64
41	37	35	48	36	64
42	33	26	46	38	64
50	34	26	54	38	62
57	22	0	45	16	59
37	36	31	44	36	62
70	28	105	57	22	65
46	36	39	51	40	68
52	35	30	58	40	69
33	37	30	52	35	67
0	68	142	63	43	68
35	40	84	47	45	65
49	41	0	48	51	50
36	40	27	47	34	64
41	38	43	46	38	61
42	44	41	49	33	62
39	55	36	50	36	63
39	26	0	49	42	60
35	30	117	43	0	80
45	42	56	54	12	66
43	39	33	52	36	61
41	36	27	46	37	63
43	37	38	47	37	67
33	39	35	48	39	67
0	29	60	49	31	68
42	41	23	27	41	80
38	41	30	46	39	67
38	48	4	50	46	59
55	43	17	45	42	75
63	26	0	42	16	67
26	37	56	43	68	69
47	28	40	50	42	69
50	40	43	48	37	75
48	38	40	47	35	74
21	42	26	51	38	72
43	42	33	50	41	68
33	39	23	46	73	72
50	28	22	58	45	59
38	40	29	45	36	74
46	32	46	50	47	76
41	42	48	50	39	70
41	42	48	50	39	70
16	67	20	19	29	63
44	41	36	52	39	69
47	51	0	56	79	48
39	39	41	49	38	70
64	43	0	58	7	78
44	36	41	50	37	70
47	37	63	56	39	66
42	37	46	48	39	68
62	23	23	50	32	60
43	40	30	53	36	66
38	40	33	51	20	70
61	43	157	80	33	73
49	36	40	54	39	69
78	13	21	55	32	68
40	36	34	42	38	68
34	42	4	57	25	74
47	38	36	49	38	70
43	41	86	41	0	93
41	42	39	51	37	82
46	80	64	35	33	80
49	47	44	53	28	63
52	40	38	50	39	78
57	35	109	39	40	72
45	41	34	46	40	68
42	40	29	47	36	67
84	66	58	52	46	75
45	44	44	50	47	72
41	41	36	47	43	69
38	44	41	50	34	80
41	40	30	53	35	71
46	38	37	53	39	71
50	35	117	55	42	68
44	46	38	48	42	68
39	40	35	55	43	73
39	39	49	55	44	60
41	36	31	49	41	66
41	39	47	49	39	68
60	29	157	46	82	60
48	42	37	51	42	63
57	42	37	49	38	68
40	33	32	50	45	70
42	36	36	49	38	68
34	32	0	49	48	66
