concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
318	18	13	18	17	63
318	18	13	18	17	63
312	20	18	24	18	64
365	20	35	26	30	66
362	20	21	23	22	66
405	37	12	16	47	72
403	18	10	21	20	64
391	19	22	16	19	63
344	18	0	23	24	83
331	20	20	24	20	64
409	29	31	22	20	66
402	10	0	19	42	72
382	9	3	5	44	40
354	20	16	24	23	61
337	22	21	15	23	60
294	18	15	23	17	59
326	19	23	22	19	60
224	18	0	19	19	62
263	19	22	26	21	62
203	20	0	24	25	64
233	0	75	16	0	63
291	22	27	9	16	64
233	22	21	25	30	64
173	20	32	27	22	61
158	16	0	27	41	65
260	17	11	22	21	60
249	18	18	19	20	59
216	21	24	19	72	52
219	23	37	15	27	54
170	21	30	24	20	59
196	16	0	24	32	59
198	20	13	23	20	59
180	19	21	22	19	58
148	17	77	27	0	68
153	23	22	27	23	60
257	20	20	22	26	56
256	14	34	15	25	52
181	23	9	21	21	56
179	22	12	20	21	55
260	24	65	19	25	53
249	44	119	20	29	60
307	23	43	21	23	61
256	18	15	23	37	61
202	39	44	20	11	70
210	11	16	16	6	62
210	11	16	16	6	62
206	20	17	24	19	59
118	9	0	18	29	59
221	19	18	25	27	61
272	19	31	21	20	60
324	15	39	23	24	67
259	50	97	20	13	42
204	17	15	19	21	60
182	22	16	18	20	61
158	23	20	30	20	61
216	20	31	21	27	66
143	19	33	22	25	65
166	20	17	16	21	60
218	10	25	40	45	67
266	15	0	7	18	66
281	17	15	21	20	59
193	19	0	40	52	58
162	13	36	20	0	49
219	23	34	25	22	61
219	27	11	0	30	67
205	20	71	29	0	62
156	18	16	24	19	60
162	49	87	3	33	59
185	22	41	22	30	59
214	23	15	21	22	63
228	6	0	14	24	66
202	19	14	22	20	63
226	20	17	17	24	64
243	26	49	24	1	67
235	19	21	22	28	62
259	20	31	22	32	65
246	20	0	18	10	62
215	20	14	20	28	63
263	8	24	19	28	65
278	23	18	18	27	64
246	23	20	20	31	63
247	14	101	31	39	83
211	17	21	17	24	64
207	19	18	21	28	64
196	22	0	13	29	46
182	18	22	21	23	64
169	49	40	25	30	82
194	3	27	27	7	60
234	12	0	30	29	43
234	12	0	30	29	43
254	23	29	23	15	68
258	19	15	19	24	61
260	6	37	23	14	49
271	18	12	18	25	63
265	22	14	15	25	65
256	31	36	23	4	66
254	23	15	21	34	64
292	17	50	26	21	69
283	21	17	19	27	65
272	10	21	19	26	66
255	19	28	15	15	67
255	21	22	20	30	67
239	0	127	0	33	47
289	18	16	20	32	66
242	0	72	0	36	62
252	21	22	19	34	72
265	18	18	20	33	70
212	17	0	14	19	61
233	21	14	23	27	66
235	27	11	16	28	67
225	19	12	19	30	69
198	21	19	19	35	70
162	52	50	19	33	78
178	19	13	16	26	71
114	20	9	19	17	72
138	24	37	19	34	89
129	28	25	19	30	75
101	43	0	11	0	92
151	18	16	20	31	72
181	17	3	20	35	75
194	22	28	22	39	75
177	25	18	20	35	72
177	20	18	24	26	77
165	18	17	18	31	71
190	7	27	16	35	71
199	19	19	19	33	72
315	20	23	18	34	72
333	16	72	18	68	88
232	20	16	18	32	73
275	52	64	14	44	73
232	21	16	21	37	73
214	20	23	15	35	73
201	52	0	22	20	67
201	52	0	22	20	67
173	13	0	18	29	65
217	0	0	0	42	88
180	20	19	19	38	71
178	23	32	23	45	71
153	20	14	22	45	71
174	19	20	17	38	68
232	19	25	19	43	68
254	24	0	20	45	71
262	20	22	20	40	67
289	20	47	23	44	66
260	17	15	22	47	67
256	15	12	19	42	67
263	19	18	18	46	69
274	23	13	23	48	67
337	28	0	23	48	87
275	23	27	12	46	71
277	24	74	18	74	71
300	18	30	23	48	81
297	18	18	20	47	70
317	0	29	22	80	70
317	22	42	17	49	87
317	11	22	18	49	75
334	48	14	14	45	72
296	0	11	23	39	67
284	33	29	36	37	73
249	20	18	22	47	68
219	10	58	10	24	65
206	18	0	18	56	72
221	21	34	19	48	68
202	23	17	19	49	70
126	52	0	19	44	68
204	21	18	22	49	69
235	18	14	15	47	68
320	19	20	20	47	68
309	17	30	20	47	84
285	25	25	25	51	71
290	26	37	24	50	72
243	22	52	47	40	69
252	56	0	10	52	74
150	9	82	15	18	69
148	19	32	18	39	72
185	19	63	27	41	73
224	21	19	27	0	65
224	21	19	27	0	65
261	20	27	19	38	71
268	42	25	20	37	72
240	49	9	11	0	63
254	16	15	20	37	70
290	20	16	20	38	70
293	15	122	0	83	87
288	27	30	26	38	78
274	21	20	22	41	70
261	22	16	18	40	68
266	20	5	7	32	78
262	18	11	19	38	66
266	20	14	17	40	65
310	15	44	25	24	59
290	21	19	43	38	64
273	26	39	21	42	68
251	19	22	25	43	66
310	5	96	16	41	66
290	19	0	19	23	58
256	21	16	21	39	65
252	17	9	23	37	68
245	20	29	16	22	82
229	23	26	20	37	69
224	20	23	29	45	71
260	16	18	16	53	73
232	18	13	21	41	73
241	17	12	20	45	73
253	16	15	28	46	73
283	19	22	17	47	76
293	19	38	23	49	87
289	25	29	21	52	75
294	28	30	0	81	74
183	2	66	37	45	77
240	19	19	21	44	74
321	11	43	23	26	77
302	24	0	20	60	81
318	27	27	20	29	68
253	20	28	21	35	78
269	0	0	17	25	75
205	15	0	11	48	78
182	12	34	20	40	80
209	18	132	20	40	93
175	41	50	2	49	83
188	26	34	19	37	82
188	26	34	19	37	82
183	16	22	19	46	86
151	39	65	0	48	77
159	21	12	18	36	76
148	19	21	20	33	75
140	20	19	17	33	72
141	8	36	19	32	72
159	24	35	22	33	73
126	19	23	18	29	73
165	15	93	7	23	73
151	18	14	17	28	79
168	19	11	17	29	80
178	8	35	3	29	95
168	13	27	22	49	88
185	16	0	17	31	90
227	27	0	24	56	86
207	19	9	17	29	89
286	20	21	20	32	91
380	23	137	44	42	100
299	28	47	20	64	85
208	20	27	25	34	89
183	43	93	0	20	102
111	36	9	11	20	99
112	23	13	16	31	96
124	32	44	0	13	98
106	43	28	4	42	96
123	22	24	22	34	100
178	12	36	28	7	109
242	12	76	33	39	92
260	20	13	19	35	98
254	35	16	19	0	94
250	29	36	43	38	100
244	21	33	25	47	95
238	59	0	47	83	112
236	44	0	30	68	96
211	18	18	22	41	95
194	17	41	15	39	102
170	27	13	16	40	98
178	23	141	48	40	92
128	0	11	17	47	101
245	21	6	1	41	98
268	19	11	21	45	97
287	25	14	24	9	81
278	27	28	20	77	101
278	27	28	20	77	101
266	20	29	15	50	100
243	18	50	25	79	96
193	13	0	25	63	106
198	20	23	35	60	93
223	20	23	19	43	101
191	18	108	53	83	100
220	54	29	43	48	87
184	24	31	21	52	98
186	20	20	21	53	98
248	45	106	17	55	98
199	24	34	21	34	95
221	19	16	21	43	95
226	20	19	22	48	95
230	27	30	17	43	100
261	31	46	27	49	92
200	25	19	23	47	94
184	16	13	23	33	91
173	19	0	14	19	95
182	23	12	21	40	91
188	28	0	38	69	116
173	25	17	25	80	90
154	32	28	4	51	111
163	55	0	12	82	92
105	39	0	26	26	80
126	19	11	18	39	94
122	31	90	21	16	100
155	0	10	8	40	93
168	25	22	21	81	101
173	19	16	20	38	99
200	19	47	20	42	95
185	25	12	31	89	92
198	16	14	21	38	87
208	18	12	20	33	89
158	20	16	19	37	93
115	23	26	23	39	101
108	27	42	19	37	94
90	27	40	25	45	101
81	12	0	16	19	95
82	22	23	14	23	96
66	19	9	22	36	93
91	21	101	20	70	96
111	28	30	23	42	94
128	6	24	19	42	100
128	6	24	19	42	100
116	0	9	0	75	92
141	17	23	22	11	94
193	17	18	18	32	88
209	0	37	34	47	86
186	47	44	19	36	91
198	22	27	24	37	92
300	54	0	18	0	107
265	1	0	26	30	102
239	18	23	20	33	91
240	11	112	20	42	92
243	19	31	36	38	106
205	9	22	21	45	97
222	22	5	0	30	79
254	18	12	17	33	99
255	18	17	18	33	99
238	25	0	30	43	103
231	20	23	21	33	103
195	21	30	21	35	102
165	25	14	19	32	96
226	17	13	21	36	102
272	21	12	20	33	98
308	24	26	20	37	110
306	12	45	19	69	96
257	22	31	20	36	92
194	17	74	20	26	90
205	17	17	19	36	86
174	17	22	20	36	86
215	27	35	31	46	104
192	20	25	22	42	86
197	18	21	19	44	82
201	18	16	20	40	83
194	17	22	20	41	83
223	18	7	22	46	85
207	20	18	21	40	84
248	16	14	21	39	87
239	4	65	16	29	103
249	18	17	20	44	85
277	31	0	52	45	86
250	23	49	17	48	86
293	35	29	22	60	86
252	38	45	17	70	85
266	19	25	31	43	73
266	19	25	31	43	73
282	10	0	27	91	71
205	14	0	26	48	76
186	18	31	20	43	77
188	28	0	15	62	87
153	17	13	14	43	76
154	17	21	19	45	74
172	29	41	40	51	79
193	21	23	22	49	78
171	15	5	29	50	78
163	20	14	18	41	79
157	19	12	23	39	81
180	22	12	17	39	82
210	54	41	21	47	84
230	25	50	24	39	84
258	14	43	20	37	84
269	23	12	22	32	85
261	22	10	20	34	86
259	22	25	20	35	88
251	54	43	24	44	82
238	27	35	22	33	87
231	30	70	33	43	92
233	21	13	19	39	90
246	19	18	21	38	88
266	24	30	20	44	88
263	28	0	28	41	84
243	20	34	32	44	87
243	19	47	11	38	93
233	23	17	27	32	80
205	23	19	21	33	80
236	30	0	0	0	94
290	24	24	16	44	80
263	0	12	17	0	62
288	21	12	20	32	79
318	21	45	11	20	95
296	25	27	21	36	79
