concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
108	24	0	7	29	38
92	28	15	21	27	34
94	44	26	11	16	53
110	29	15	19	32	40
109	28	26	23	35	39
166	18	142	5	0	38
118	25	11	17	34	38
140	26	15	19	32	37
164	27	17	22	34	44
148	51	50	21	35	50
148	51	50	21	35	50
113	28	23	21	31	42
83	27	29	19	29	41
90	23	0	10	37	41
121	24	13	18	26	37
104	25	16	28	24	38
106	15	41	19	26	43
84	26	109	20	25	38
83	25	15	22	22	42
99	24	65	18	0	27
77	24	14	21	18	35
99	28	23	18	22	34
158	27	34	17	31	32
170	28	18	19	23	29
191	28	21	19	22	33
214	22	76	36	6	41
220	24	14	20	23	39
181	24	14	19	23	42
161	28	42	7	39	38
172	30	36	10	34	45
144	26	23	22	40	58
82	0	0	29	80	55
107	23	11	21	32	50
91	22	12	18	34	52
123	13	0	12	35	56
180	31	41	42	7	57
131	25	18	18	33	52
128	30	0	1	29	46
113	24	20	18	22	51
152	22	18	15	24	50
308	24	30	24	27	52
244	25	113	4	27	55
156	25	26	20	35	48
190	11	135	16	15	58
130	53	42	23	57	49
222	30	50	11	32	51
205	24	10	16	25	45
159	26	19	20	24	47
68	58	0	0	22	54
94	27	37	21	31	53
197	14	6	11	15	55
140	20	0	20	19	54
107	23	0	28	43	52
104	28	28	23	25	47
122	26	8	21	8	52
122	26	8	21	8	52
154	26	83	34	30	42
134	33	25	16	27	34
82	15	0	13	11	53
134	59	0	9	58	67
128	18	24	18	56	53
280	28	18	23	25	52
235	61	57	0	52	69
145	21	60	3	40	55
175	24	16	21	39	49
230	27	0	6	17	48
245	29	25	17	42	49
153	59	2	29	45	55
155	16	0	20	46	65
88	44	16	11	10	60
100	26	17	18	40	59
136	0	18	23	23	32
94	33	25	34	52	59
97	28	25	20	43	55
72	14	69	15	24	50
69	24	10	18	37	45
69	24	16	22	38	46
99	23	20	22	45	48
82	29	28	8	36	45
115	55	139	5	38	53
104	24	11	16	28	46
76	24	20	12	23	45
98	22	135	14	82	44
120	25	35	19	20	47
150	31	25	23	20	46
142	0	0	0	61	57
111	43	27	45	56	52
93	62	24	18	26	49
87	26	27	19	27	50
82	28	77	23	22	45
155	24	21	17	27	50
187	25	23	25	31	52
152	29	128	27	41	51
141	24	31	20	34	53
128	27	20	19	40	54
126	27	16	23	31	53
129	28	18	20	37	54
106	0	37	22	28	59
110	32	34	23	39	59
110	32	34	23	39	59
103	23	23	8	35	59
118	45	92	11	26	58
81	28	44	8	32	59
158	33	14	13	40	63
186	29	22	22	47	59
203	42	64	19	28	53
253	29	20	20	37	59
277	31	16	19	39	58
271	25	0	21	84	61
259	31	18	14	41	61
308	66	34	38	50	63
280	27	17	18	43	58
271	33	29	21	50	60
222	27	28	21	53	59
186	29	16	24	53	63
177	39	0	48	30	47
155	33	27	13	51	59
