x	y	z	w	concentration
-1.90339	4.49669	-0.181451	0.9834	37
-1.90339	4.49065	-0.182167	0.983268	37
-1.90319	4.49057	-0.177532	0.984115	37
-1.90331	4.49442	-0.171678	0.985153	37
-1.90351	4.49449	-0.163505	0.986542	37
-1.90347	4.49448	-0.153424	0.98816	37
-1.90289	4.49035	-0.145286	0.98939	37
-1.90277	4.49031	-0.139326	0.990247	37
-1.90293	4.49036	-0.13163	0.991299	37
-1.90293	4.49036	-0.120636	0.992697	36
-1.90285	4.49034	-0.110841	0.993838	36
-1.90272	4.49031	-0.101817	0.994803	36
-1.90281	4.49033	-0.0907859	0.99587	36
-1.90298	4.49036	-0.0778295	0.996967	36
-1.90293	4.49035	-0.0675594	0.997715	36
-1.90289	4.49034	-0.0604182	0.998173	36
-1.90306	4.49036	-0.0499622	0.998751	36
-1.9031	4.49037	-0.0392392	0.99923	36
-1.90289	4.49035	-0.0293839	0.999568	36
-1.90289	4.49035	-0.0209218	0.999781	37
-1.90289	4.49035	-0.0204856	0.99979	37
-1.90289	4.49035	-0.0204856	0.99979	37
-1.90289	4.49035	-0.0204856	0.99979	37
-1.90289	4.49035	-0.0204856	0.99979	37
-1.90289	4.49035	-0.0204856	0.99979	37
-1.90289	4.49035	-0.0204856	0.99979	37
-1.90289	4.49035	-0.0204856	0.99979	37
-1.90289	4.49035	-0.0204856	0.99979	37
-1.90289	4.49035	-0.0204856	0.99979	37
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
